sym,tf,side,score,score_trend,score_smc,score_osc,score_liq,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl,pnl_pct,notional,balance_at_entry
BTC/USDT,15m,SHORT,17,9,1,4,5,28900.1,29350.0,28360.22,28000.3,1.557,31.7,False,TRENDING,2023-04-20 00:15:00+00:00,2023-04-20 12:30:00+00:00,28900.1,SL_BE,True,WIN,1.87,0.93,200.0,1000.0
SOL/USDT,15m,SHORT,21,9,2,4,8,22.92,23.19,22.6,22.39,1.165,35.5,False,TRENDING,2023-04-20 00:15:00+00:00,2023-04-20 04:00:00+00:00,22.92,SL_BE,True,WIN,1.4,0.7,200.0,1000.0
ETH/USDT,15m,SHORT,18,9,2,4,5,1944.64,1988.97,1891.44,1855.98,2.28,27.1,False,TRENDING,2023-04-20 00:15:00+00:00,2023-04-21 19:00:00+00:00,1855.98,TP2,True,WIN,7.29,3.65,200.0,1000.0
DOGE/USDT,15m,SHORT,17,8,2,1,8,0.08996,0.090857,0.088883,0.088166,0.997,53.7,False,TRENDING,2023-04-20 00:30:00+00:00,2023-04-20 01:00:00+00:00,0.090857,SL,False,LOSS,-1.99,-1.0,200.0,1000.0
LINK/USDT,15m,SHORT,16,9,2,2,5,7.832,8.013,7.6148,7.47,2.311,43.2,False,TRENDING,2023-04-20 00:30:00+00:00,2023-04-20 19:30:00+00:00,7.47,TP2,True,WIN,7.4,3.7,200.0,1000.0
XRP/USDT,15m,SHORT,17,10,2,2,5,0.4949,0.4982,0.4909,0.4882,0.674,51.8,False,TRENDING,2023-04-20 00:30:00+00:00,2023-04-20 03:00:00+00:00,0.4882,TP2,True,WIN,2.16,1.08,200.0,1000.0
ADA/USDT,15m,SHORT,14,7,2,1,5,0.4189,0.4217,0.4154,0.4131,0.684,53.8,False,TRENDING,2023-04-20 00:30:00+00:00,2023-04-20 02:00:00+00:00,0.4217,SL,False,LOSS,-1.34,-0.67,200.0,1000.0
AVAX/USDT,15m,SHORT,16,9,2,2,5,19.09,19.5,18.6,18.27,2.148,45.1,False,TRENDING,2023-04-20 00:45:00+00:00,2023-04-20 17:00:00+00:00,18.27,TP2,True,WIN,6.86,3.43,200.0,1000.0
SOL/USDT,15m,SHORT,16,10,2,1,5,23.0,23.16,22.81,22.69,0.693,53.1,False,TRENDING,2023-04-20 04:15:00+00:00,2023-04-20 05:00:00+00:00,22.69,TP2,True,WIN,2.18,1.09,200.28,1001.4
XRP/USDT,15m,SHORT,13,5,2,2,5,0.4967,0.4994,0.4935,0.4913,0.545,60.3,False,TRENDING,2023-04-20 04:30:00+00:00,2023-04-20 06:15:00+00:00,0.4994,SL,False,LOSS,-1.09,-0.54,200.43,1002.16
DOGE/USDT,15m,SHORT,12,0,2,2,8,0.09114,0.092115,0.08997,0.089191,1.069,58.9,False,RANGING,2023-04-20 04:30:00+00:00,2023-04-20 06:00:00+00:00,0.092115,SL,False,LOSS,-2.14,-1.07,199.6,998.01
SOL/USDT,15m,LONG,15,0,3,4,8,22.8,22.36,23.32,23.66,1.895,48.1,True,TRENDING,2023-04-20 08:15:00+00:00,2023-04-20 11:45:00+00:00,22.36,SL,False,LOSS,-3.87,-1.93,200.72,1003.58
DOGE/USDT,15m,SHORT,12,0,2,2,8,0.09119,0.09258,0.089522,0.08841,1.524,59.4,True,RANGING,2023-04-20 08:30:00+00:00,2023-04-20 11:15:00+00:00,0.09258,SL,False,LOSS,-3.04,-1.52,199.17,995.87
SOL/USDT,15m,SHORT,19,9,2,2,8,22.57,22.89,22.2,21.95,1.387,34.5,False,TRENDING,2023-04-20 12:15:00+00:00,2023-04-20 12:45:00+00:00,22.89,SL,False,LOSS,-2.83,-1.42,199.94,999.71
XRP/USDT,15m,SHORT,19,10,2,1,8,0.4922,0.496,0.4876,0.4845,0.778,46.7,False,TRENDING,2023-04-20 12:30:00+00:00,2023-04-20 15:30:00+00:00,0.4845,TP2,True,WIN,2.5,1.25,200.21,1001.07
ADA/USDT,15m,SHORT,14,9,2,0,5,0.4159,0.4203,0.4106,0.4071,1.063,44.7,False,RANGING,2023-04-20 12:30:00+00:00,2023-04-20 15:45:00+00:00,0.4071,TP2,True,WIN,3.39,1.7,199.73,998.66
BTC/USDT,15m,LONG,14,0,0,6,8,28577.9,28250.0,28971.38,29233.7,1.147,34.7,False,TRENDING,2023-04-20 16:15:00+00:00,2023-04-20 19:00:00+00:00,28250.0,SL,False,LOSS,-2.3,-1.15,200.37,1001.87
DOGE/USDT,15m,SHORT,15,9,1,2,5,0.08543,0.09365,0.075566,0.06899,9.622,25.7,False,TRENDING,2023-04-20 16:30:00+00:00,2023-04-22 17:00:00+00:00,0.08049,TIMEOUT,False,WIN,11.48,5.78,198.57,992.83
ADA/USDT,15m,SHORT,16,9,2,2,5,0.4039,0.4182,0.3867,0.3752,3.548,25.7,False,TRENDING,2023-04-20 16:30:00+00:00,2023-04-22 17:00:00+00:00,0.39617,TIMEOUT,True,WIN,6.18,3.09,200.41,1002.05
BNB/USDT,15m,SHORT,16,9,2,2,5,321.78,326.77,315.79,311.8,1.551,30.9,False,TRENDING,2023-04-20 16:30:00+00:00,2023-04-21 07:45:00+00:00,321.78,SL_BE,True,WIN,1.86,0.93,200.0,1000.0
BTC/USDT,15m,SHORT,15,9,2,1,5,28220.0,28742.5,27593.0,27175.0,1.852,31.6,False,TRENDING,2023-04-20 20:15:00+00:00,2023-04-21 20:00:00+00:00,27175.0,TP2,True,WIN,5.92,2.96,199.91,999.57
SOL/USDT,15m,SHORT,19,9,3,4,5,21.9,22.7,20.93,20.29,3.663,36.8,False,TRENDING,2023-04-20 20:15:00+00:00,2023-04-22 16:00:00+00:00,21.9,SL_BE,True,WIN,4.42,2.21,199.38,996.88
LINK/USDT,15m,LONG,14,0,2,4,8,7.575,7.461,7.7118,7.803,1.505,42.9,False,TRENDING,2023-04-20 20:30:00+00:00,2023-04-21 06:30:00+00:00,7.461,SL,False,LOSS,-3.03,-1.5,201.48,1007.4
XRP/USDT,15m,SHORT,14,9,0,2,5,0.4715,0.4891,0.4505,0.4365,3.72,39.4,False,TRENDING,2023-04-20 20:30:00+00:00,2023-04-22 14:30:00+00:00,0.4715,SL_BE,True,WIN,4.47,2.23,200.71,1003.57
AVAX/USDT,15m,SHORT,19,11,0,2,8,18.46,19.1,17.69,17.18,3.467,46.8,False,TRENDING,2023-04-20 20:45:00+00:00,2023-04-21 19:00:00+00:00,17.18,TP2,True,WIN,11.18,5.55,201.37,1006.86
LINK/USDT,15m,SHORT,17,10,2,2,5,7.407,7.576,7.2042,7.069,2.282,43.0,False,TRENDING,2023-04-21 12:30:00+00:00,2023-04-21 19:45:00+00:00,7.069,TP2,True,WIN,7.33,3.65,200.87,1004.37
BNB/USDT,15m,LONG,12,0,3,1,8,326.33,323.92,329.22,331.15,0.739,45.0,False,RANGING,2023-04-21 16:30:00+00:00,2023-04-21 17:15:00+00:00,323.92,SL,False,LOSS,-1.48,-0.74,200.37,1001.86
ETH/USDT,15m,SHORT,19,9,2,2,8,1846.76,1913.0,1767.27,1714.28,3.587,25.1,False,TRENDING,2023-04-21 20:15:00+00:00,2023-04-23 20:45:00+00:00,1849.48,TIMEOUT,False,LOSS,-0.3,-0.15,201.46,1007.29
BNB/USDT,15m,SHORT,16,9,2,2,5,318.85,327.85,308.05,300.85,2.823,32.4,False,TRENDING,2023-04-21 20:30:00+00:00,2023-04-22 12:45:00+00:00,327.85,SL,False,LOSS,-5.65,-2.82,200.08,1000.38
BTC/USDT,15m,SHORT,16,11,0,2,5,27283.8,27804.9,26658.48,26241.6,1.91,39.0,False,TRENDING,2023-04-22 00:15:00+00:00,2023-04-22 22:30:00+00:00,27804.9,SL,False,LOSS,-3.84,-1.91,201.1,1005.49
LINK/USDT,15m,SHORT,17,11,0,3,5,7.105,7.154,7.0462,7.007,0.69,46.4,False,TRENDING,2023-04-22 00:30:00+00:00,2023-04-22 01:45:00+00:00,7.154,SL,False,LOSS,-1.4,-0.69,202.34,1011.7
AVAX/USDT,15m,LONG,15,0,4,3,8,16.85,16.73,16.99,17.09,0.712,36.8,False,TRENDING,2023-04-22 00:45:00+00:00,2023-04-22 04:30:00+00:00,17.09,TP2,True,WIN,2.3,1.13,203.61,1018.04
LINK/USDT,15m,SHORT,17,11,2,1,5,7.111,7.18,7.0282,6.973,0.97,41.9,True,TRENDING,2023-04-22 08:30:00+00:00,2023-04-22 14:45:00+00:00,7.18,SL,False,LOSS,-1.96,-0.97,202.06,1010.3
DOGE/USDT,30m,SHORT,16,6,0,3,8,0.08018,0.08064,0.079628,0.07926,0.574,67.1,True,TRENDING,2023-04-22 15:00:00+00:00,2023-04-22 16:00:00+00:00,0.08064,SL,False,LOSS,-1.15,-0.57,200.0,1000.0
LINK/USDT,30m,SHORT,12,5,0,0,8,7.171,7.22,7.1122,7.073,0.683,59.0,True,RANGING,2023-04-22 15:30:00+00:00,2023-04-22 22:00:00+00:00,7.171,SL_BE,True,WIN,0.82,0.41,200.0,1000.0
ADA/USDT,30m,SHORT,12,3,0,2,8,0.3962,0.3985,0.3933,0.3914,0.602,73.1,True,TRENDING,2023-04-22 15:30:00+00:00,2023-04-22 16:30:00+00:00,0.3985,SL,False,LOSS,-1.16,-0.58,200.0,1000.0
LINK/USDT,15m,SHORT,13,1,0,4,8,7.19,7.24,7.13,7.09,0.695,61.3,False,TRENDING,2023-04-22 16:30:00+00:00,2023-04-22 23:30:00+00:00,7.19,SL_BE,True,WIN,0.84,0.42,201.67,1008.34
BNB/USDT,15m,LONG,17,9,3,2,5,329.54,324.49,335.6,339.64,1.532,63.9,False,TRENDING,2023-04-22 16:30:00+00:00,2023-04-24 17:00:00+00:00,328.87,TIMEOUT,False,LOSS,-0.4,-0.2,198.95,994.73
DOGE/USDT,30m,SHORT,13,6,0,0,8,0.0804,0.08102,0.079656,0.07916,0.771,57.4,False,TRENDING,2023-04-22 19:00:00+00:00,2023-04-23 03:30:00+00:00,0.0804,SL_BE,True,WIN,0.92,0.46,199.77,998.85
ETH/USDT,30m,SHORT,12,5,0,0,8,1873.9,1887.43,1857.66,1846.84,0.722,60.0,False,TRENDING,2023-04-22 19:00:00+00:00,2023-04-23 07:30:00+00:00,1873.9,SL_BE,True,WIN,0.87,0.43,200.0,1000.0
BNB/USDT,30m,SHORT,13,0,3,2,8,330.09,331.83,328.0,326.61,0.527,68.7,False,TRENDING,2023-04-22 19:00:00+00:00,2023-04-22 22:00:00+00:00,331.83,SL,False,LOSS,-1.05,-0.53,200.0,1000.0
BTC/USDT,30m,SHORT,14,5,0,2,8,27615.6,27773.5,27426.12,27299.8,0.572,61.2,False,TRENDING,2023-04-22 19:00:00+00:00,2023-04-22 22:00:00+00:00,27773.5,SL,False,LOSS,-1.14,-0.57,200.0,1000.0
