tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
15m,BTC/USDT,LONG,12,0,0,2,73974.2,73302.8,74779.88,75317.0,0.908,31.1,True,TRENDING,2026-04-16 14:30:00+00:00,2026-04-16 17:00:00+00:00,73974.2,SL_BE,True,WIN,6.0
15m,BTC/USDT,LONG,17,8,2,2,75779.3,74550.0,77254.46,78237.9,1.622,72.6,True,TRENDING,2026-04-17 08:45:00+00:00,2026-04-17 16:15:00+00:00,78237.9,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,17,9,1,2,77855.9,75375.0,80832.98,82817.7,3.187,71.4,False,TRENDING,2026-04-17 16:45:00+00:00,2026-04-19 03:00:00+00:00,75375.0,SL,False,LOSS,-10.0
15m,BTC/USDT,SHORT,17,9,2,2,75397.3,75783.5,74933.86,74624.9,0.512,41.7,False,TRENDING,2026-04-19 06:45:00+00:00,2026-04-19 11:00:00+00:00,75397.3,SL_BE,True,WIN,6.0
15m,BTC/USDT,LONG,16,0,2,4,75430.1,74889.7,76078.58,76510.9,0.716,47.7,False,TRENDING,2026-04-19 11:00:00+00:00,2026-04-19 15:30:00+00:00,75430.1,SL_BE,True,WIN,6.0
15m,BTC/USDT,LONG,15,0,3,2,75723.6,75000.0,76591.92,77170.8,0.956,62.5,True,TRENDING,2026-04-19 15:30:00+00:00,2026-04-19 17:45:00+00:00,75000.0,SL,False,LOSS,-10.0
30m,BTC/USDT,LONG,11,0,2,2,75018.5,74447.3,75703.94,76160.9,0.761,59.6,False,TRENDING,2026-04-16 06:00:00+00:00,2026-04-16 10:00:00+00:00,74447.3,SL,False,LOSS,-10.0
30m,BTC/USDT,LONG,11,0,2,2,76237.3,74537.4,78277.18,79637.1,2.23,61.1,False,TRENDING,2026-04-17 12:30:00+00:00,2026-04-18 10:00:00+00:00,76237.3,SL_BE,True,WIN,6.0
30m,BTC/USDT,LONG,16,5,0,2,76218.8,75780.9,76744.28,77094.6,0.575,31.1,False,TRENDING,2026-04-18 12:30:00+00:00,2026-04-18 16:00:00+00:00,75780.9,SL,False,LOSS,-10.0
30m,BTC/USDT,SHORT,10,0,2,2,75253.9,75899.9,74478.7,73961.9,0.858,33.2,True,TRENDING,2026-04-19 08:30:00+00:00,2026-04-19 13:00:00+00:00,75899.9,SL,False,LOSS,-10.0
30m,BTC/USDT,LONG,14,0,2,2,76051.9,74889.7,77446.54,78376.3,1.528,53.7,False,TRENDING,2026-04-19 13:00:00+00:00,2026-04-19 17:30:00+00:00,74889.7,SL,False,LOSS,-10.0
1H,BTC/USDT,LONG,12,0,0,2,77135.2,74983.2,79717.6,81439.2,2.79,58.4,False,TRENDING,2026-04-18 05:00:00+00:00,2026-04-19 07:00:00+00:00,74983.2,SL,False,LOSS,-10.0
1H,BTC/USDT,LONG,15,0,1,4,75601.1,74889.7,76454.78,77023.9,0.941,35.3,False,TRENDING,2026-04-19 11:00:00+00:00,2026-04-19 17:00:00+00:00,74889.7,SL,False,LOSS,-10.0
1H,BTC/USDT,LONG,9,0,2,2,74779.9,74348.73,75297.3,75642.24,0.577,33.8,False,TRENDING,2026-04-19 18:00:00+00:00,2026-04-19 22:00:00+00:00,74348.73,SL,False,LOSS,-10.0
15m,ETH/USDT,SHORT,11,0,3,2,2336.25,2357.37,2310.91,2294.01,0.904,38.3,False,TRENDING,2026-04-16 11:45:00+00:00,2026-04-16 14:15:00+00:00,2294.01,TP2,True,WIN,16.0
15m,ETH/USDT,LONG,14,0,0,4,2309.87,2284.5,2340.31,2360.61,1.098,33.1,True,VOLATILE,2026-04-16 14:45:00+00:00,2026-04-16 19:45:00+00:00,2360.61,TP2,True,WIN,16.0
15m,ETH/USDT,LONG,17,8,2,2,2371.51,2317.01,2436.91,2480.51,2.298,71.6,True,TRENDING,2026-04-17 09:15:00+00:00,2026-04-18 08:30:00+00:00,2371.51,SL_BE,True,WIN,6.0
15m,ETH/USDT,LONG,10,1,0,2,2381.12,2368.0,2396.86,2407.36,0.551,19.4,True,TRENDING,2026-04-18 08:45:00+00:00,2026-04-18 10:00:00+00:00,2368.0,SL,False,LOSS,-10.0
30m,ETH/USDT,LONG,11,0,2,2,2405.03,2317.01,2510.65,2581.07,3.66,64.2,False,TRENDING,2026-04-17 13:00:00+00:00,2026-04-19 07:00:00+00:00,2317.01,SL,False,LOSS,-10.0
30m,ETH/USDT,LONG,12,0,0,2,2316.1,2296.6,2339.5,2355.1,0.842,18.5,True,TRENDING,2026-04-19 07:30:00+00:00,2026-04-19 15:30:00+00:00,2316.1,SL_BE,True,WIN,6.0
30m,ETH/USDT,LONG,10,0,2,1,2330.45,2296.6,2371.07,2398.15,1.453,51.9,True,TRENDING,2026-04-19 15:30:00+00:00,2026-04-19 17:00:00+00:00,2296.6,SL,False,LOSS,-10.0
1H,ETH/USDT,LONG,12,0,0,2,2409.09,2332.93,2500.48,2561.41,3.161,53.6,False,TRENDING,2026-04-18 05:00:00+00:00,2026-04-19 03:00:00+00:00,2332.93,SL,False,LOSS,-10.0
1H,ETH/USDT,LONG,11,0,2,2,2339.72,2324.87,2357.54,2369.42,0.635,31.8,False,TRENDING,2026-04-19 03:00:00+00:00,2026-04-19 06:00:00+00:00,2324.87,SL,False,LOSS,-10.0
1H,ETH/USDT,LONG,13,0,3,2,2327.26,2312.32,2345.19,2357.14,0.642,30.0,False,TRENDING,2026-04-19 06:00:00+00:00,2026-04-19 08:00:00+00:00,2312.32,SL,False,LOSS,-10.0
1H,ETH/USDT,LONG,14,0,0,4,2318.3,2296.6,2344.34,2361.7,0.936,23.9,True,TRENDING,2026-04-19 08:00:00+00:00,2026-04-19 15:00:00+00:00,2318.3,SL_BE,True,WIN,6.0
1H,ETH/USDT,SHORT,20,11,3,2,2330.45,2363.62,2290.65,2264.11,1.423,46.2,True,TRENDING,2026-04-19 15:00:00+00:00,2026-04-19 22:00:00+00:00,2264.11,TP2,True,WIN,16.0
15m,SOL/USDT,LONG,14,2,3,2,84.42,83.81,85.15,85.64,0.723,39.0,True,VOLATILE,2026-04-16 14:15:00+00:00,2026-04-16 15:00:00+00:00,85.64,TP2,True,WIN,15.98
15m,SOL/USDT,LONG,18,9,2,2,89.58,85.63,94.32,97.48,4.409,69.3,False,TRENDING,2026-04-16 20:45:00+00:00,2026-04-18 21:15:00+00:00,86.25,TIMEOUT,False,LOSS,-8.43
15m,SOL/USDT,SHORT,18,10,0,4,86.25,87.01,85.34,84.73,0.881,39.1,False,TRENDING,2026-04-18 21:15:00+00:00,2026-04-19 07:15:00+00:00,84.73,TP2,True,WIN,15.99
