tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
15m,BTC/USDT,LONG,9,9,1,0,88632.1,87991.1,89401.3,89914.1,0.723,56.9,False,RANGING,2025-04-22 11:15:00+00:00,2025-04-22 13:30:00+00:00,89914.1,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,10,8,2,0,90928.9,88245.0,94149.58,96296.7,2.952,83.7,True,VOLATILE,2025-04-22 15:15:00+00:00,2025-04-24 15:45:00+00:00,93205.8,TIMEOUT,True,WIN,10.24
15m,BTC/USDT,LONG,9,8,0,2,93175.9,92670.1,93782.86,94187.5,0.543,59.7,False,RANGING,2025-04-24 21:15:00+00:00,2025-04-25 01:00:00+00:00,94187.5,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,9,8,2,0,93686.4,93026.0,94478.88,95007.2,0.705,67.4,False,RANGING,2025-04-25 01:15:00+00:00,2025-04-25 02:45:00+00:00,93026.0,SL,False,LOSS,-10.0
15m,BTC/USDT,LONG,13,11,2,0,93500.6,92842.0,94290.92,94817.8,0.704,56.0,True,RANGING,2025-04-25 07:15:00+00:00,2025-04-25 12:00:00+00:00,94817.8,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,11,9,2,0,94202.2,93536.9,95000.56,95532.8,0.706,57.2,True,TRENDING,2025-04-25 13:15:00+00:00,2025-04-25 14:45:00+00:00,95532.8,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,9,8,1,0,95301.5,93573.1,97375.58,98758.3,1.814,66.7,True,VOLATILE,2025-04-25 15:15:00+00:00,2025-04-27 15:45:00+00:00,93902.1,TIMEOUT,False,LOSS,-8.1
15m,BTC/USDT,LONG,8,8,0,0,94667.5,92878.1,96814.78,98246.3,1.89,66.2,True,TRENDING,2025-04-28 07:15:00+00:00,2025-04-30 07:45:00+00:00,94626.0,TIMEOUT,False,LOSS,-0.23
15m,BTC/USDT,LONG,11,8,2,2,95108.1,94500.0,95837.82,96324.3,0.639,58.0,False,TRENDING,2025-04-30 11:15:00+00:00,2025-04-30 12:30:00+00:00,94500.0,SL,False,LOSS,-10.0
15m,BTC/USDT,SHORT,12,10,2,0,94559.3,95236.0,93747.26,93205.9,0.716,32.0,True,TRENDING,2025-04-30 13:15:00+00:00,2025-04-30 14:00:00+00:00,93205.9,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,12,8,2,2,94980.1,94608.1,95426.5,95724.1,0.392,57.7,True,TRENDING,2025-05-01 07:15:00+00:00,2025-05-01 09:45:00+00:00,95724.1,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,11,8,2,2,95923.7,94782.8,97292.78,98205.5,1.189,76.7,False,TRENDING,2025-05-01 11:15:00+00:00,2025-05-03 10:30:00+00:00,95923.7,SL_BE,True,WIN,6.0
15m,BTC/USDT,SHORT,11,8,2,2,94417.9,95760.4,92806.9,91732.9,1.422,28.8,False,TRENDING,2025-05-04 23:15:00+00:00,2025-05-06 22:30:00+00:00,95760.4,SL,False,LOSS,-10.0
15m,BTC/USDT,LONG,9,8,2,0,96630.5,94454.1,99242.18,100983.3,2.252,75.4,False,TRENDING,2025-05-06 23:15:00+00:00,2025-05-08 15:30:00+00:00,100983.3,TP2,True,WIN,16.0
15m,BTC/USDT,LONG,9,8,2,0,101528.0,99090.4,104453.12,106403.2,2.401,69.8,False,VOLATILE,2025-05-08 17:15:00+00:00,2025-05-10 17:45:00+00:00,103177.3,TIMEOUT,False,WIN,6.77
15m,BTC/USDT,LONG,12,9,2,2,104800.5,103010.0,106949.1,108381.5,1.708,67.7,False,TRENDING,2025-05-10 23:15:00+00:00,2025-05-12 14:15:00+00:00,103010.0,SL,False,LOSS,-10.0
15m,BTC/USDT,LONG,8,8,0,0,103780.7,102540.1,105269.42,106261.9,1.195,57.7,True,TRENDING,2025-05-13 13:15:00+00:00,2025-05-15 05:15:00+00:00,102540.1,SL,False,LOSS,-10.0
