strategy,symbol,side,entry_time,entry_px,sl_px,tp_px,atr,exit_time,exit_px,outcome,pnl_pct,pnl_usd,score,passed,session,in_killzone,adx,rsi,vol_expand
TREND_FOLLOW,BTCUSDT,SHORT,2023-05-22 07:00:00+00:00,26824.0,26953.0934,26501.2665,107.5778,2023-05-22 13:00:00+00:00,26953.0934,LOSS,-0.481,-15.0,54,5,EUROPE,False,28.5,41.8,False
TREND_FOLLOW,BTCUSDT,SHORT,2023-06-10 18:00:00+00:00,26019.1,26233.6088,25482.8279,178.7574,2023-06-13 08:00:00+00:00,26233.6088,LOSS,-0.824,-15.0,52,5,ASIA,True,15.2,60.0,False
TREND_FOLLOW,BTCUSDT,SHORT,2023-09-25 16:00:00+00:00,26244.5,26371.0847,25928.0383,105.4872,2023-09-25 17:00:00+00:00,26371.0847,LOSS,-0.482,-15.0,64,6,US,False,35.6,54.6,True
TREND_FOLLOW,BTCUSDT,LONG,2023-11-09 17:00:00+00:00,36334.9,35773.2179,37739.1052,468.0684,2023-11-14 15:00:00+00:00,35773.2179,LOSS,-1.546,-15.0,62,6,US,True,37.0,49.7,True
TREND_FOLLOW,BTCUSDT,LONG,2023-12-09 09:00:00+00:00,43846.3,43562.8115,44555.0213,236.2404,2023-12-11 01:00:00+00:00,43562.8115,LOSS,-0.647,-15.0,32,3,LATE,False,11.0,40.3,False
TREND_FOLLOW,BTCUSDT,SHORT,2024-04-29 15:00:00+00:00,62845.9,63425.1759,61397.7103,482.7299,2024-04-29 22:00:00+00:00,63425.1759,LOSS,-0.922,-15.0,62,6,LATE,False,23.6,53.4,False
TREND_FOLLOW,BTCUSDT,SHORT,2024-05-01 19:00:00+00:00,58922.8,59935.8353,56390.2117,844.1961,2024-05-03 03:00:00+00:00,59935.8353,LOSS,-1.719,-15.0,44,4,ASIA,False,24.2,60.5,False
TREND_FOLLOW,BTCUSDT,SHORT,2024-06-17 17:00:00+00:00,65893.0,66364.3625,64714.5936,392.8021,2024-06-17 18:00:00+00:00,66364.3625,LOSS,-0.715,-15.0,44,4,US,False,27.6,58.9,False
TREND_FOLLOW,BTCUSDT,SHORT,2024-07-08 15:00:00+00:00,56185.8,57160.0252,53750.2371,811.8543,2024-07-09 01:00:00+00:00,57160.0252,LOSS,-1.734,-15.0,34,3,LATE,False,19.5,50.2,False
TREND_FOLLOW,BTCUSDT,LONG,2024-07-27 20:00:00+00:00,68254.6,67725.7846,69576.6384,440.6795,2024-07-27 21:00:00+00:00,67725.7846,LOSS,-0.775,-15.0,44,4,US,False,42.5,45.0,True
TREND_FOLLOW,BTCUSDT,SHORT,2024-08-05 15:00:00+00:00,54060.1,55956.8232,49318.292,1580.6027,2024-08-06 00:00:00+00:00,55956.8232,LOSS,-3.509,-15.0,54,5,LATE,False,48.2,47.0,False
TREND_FOLLOW,BTCUSDT,SHORT,2024-08-12 12:00:00+00:00,59850.1,60599.1614,57977.4466,624.2178,2024-08-12 14:00:00+00:00,57977.4466,WIN,3.129,37.5,74,7,US,True,34.9,38.3,True
TREND_FOLLOW,BTCUSDT,SHORT,2024-09-04 15:00:00+00:00,57515.7,58079.5225,56106.1439,469.852,2024-09-04 16:00:00+00:00,58079.5225,LOSS,-0.98,-15.0,82,8,US,True,39.0,62.2,True
TREND_FOLLOW,BTCUSDT,LONG,2024-10-07 11:00:00+00:00,62899.2,62517.1632,63854.2919,318.364,2024-10-07 14:00:00+00:00,63854.2919,WIN,1.518,37.5,64,6,US,True,29.9,58.0,True
TREND_FOLLOW,BTCUSDT,LONG,2024-10-21 08:00:00+00:00,68512.4,68139.9983,69443.4043,310.3348,2024-10-21 12:00:00+00:00,68139.9983,LOSS,-0.544,-15.0,52,5,EUROPE,False,23.7,40.2,False
TREND_FOLLOW,BTCUSDT,SHORT,2024-12-30 10:00:00+00:00,93880.1,94485.0088,92367.828,504.0907,2024-12-30 14:00:00+00:00,92367.828,WIN,1.611,37.5,82,8,US,True,31.2,31.9,True
TREND_FOLLOW,BTCUSDT,SHORT,2025-02-18 22:00:00+00:00,95071.9,95872.2553,93071.0117,666.9628,2025-02-19 02:00:00+00:00,95872.2553,LOSS,-0.842,-15.0,54,5,ASIA,False,22.1,51.4,False
TREND_FOLLOW,BTCUSDT,SHORT,2025-02-24 02:00:00+00:00,95978.6,96368.4969,95003.8578,324.9141,2025-02-24 14:00:00+00:00,95003.8578,WIN,1.016,37.5,64,6,US,True,22.6,44.6,False
TREND_FOLLOW,BTCUSDT,SHORT,2025-02-28 15:00:00+00:00,82105.2,83623.0118,78310.6704,1264.8432,2025-02-28 16:00:00+00:00,83623.0118,LOSS,-1.849,-15.0,74,7,US,True,42.3,60.0,True
TREND_FOLLOW,BTCUSDT,SHORT,2025-03-10 10:00:00+00:00,82512.2,83714.5956,79506.211,1001.9963,2025-03-10 11:00:00+00:00,83714.5956,LOSS,-1.457,-15.0,54,5,EUROPE,False,30.5,44.9,False
TREND_FOLLOW,BTCUSDT,SHORT,2025-04-07 16:00:00+00:00,78480.0,80159.4094,74281.4764,1399.5079,2025-04-07 22:00:00+00:00,80159.4094,LOSS,-2.14,-15.0,54,5,LATE,False,34.8,53.8,False
TREND_FOLLOW,BTCUSDT,LONG,2025-05-07 19:00:00+00:00,96596.0,95983.6554,98126.8616,510.2872,2025-05-08 01:00:00+00:00,98126.8616,WIN,1.585,37.5,42,4,LATE,False,20.8,65.7,False
TREND_FOLLOW,BTCUSDT,LONG,2025-05-18 21:00:00+00:00,104060.1,103361.2989,105807.1027,582.3342,2025-05-18 22:00:00+00:00,105807.1027,WIN,1.679,37.5,54,5,LATE,False,25.8,51.5,False
TREND_FOLLOW,BTCUSDT,LONG,2025-06-17 00:00:00+00:00,106806.0,106061.9723,108666.0692,620.0231,2025-06-17 10:00:00+00:00,106061.9723,LOSS,-0.697,-15.0,62,6,EUROPE,True,28.5,38.2,False
TREND_FOLLOW,BTCUSDT,LONG,2025-07-14 16:00:00+00:00,119881.9,118916.8312,122294.5721,804.224,2025-07-15 01:00:00+00:00,118916.8312,LOSS,-0.805,-15.0,44,4,LATE,False,25.8,42.4,False
TREND_FOLLOW,BTCUSDT,LONG,2025-08-11 13:00:00+00:00,119655.9,118869.5109,121621.8728,655.3243,2025-08-11 19:00:00+00:00,118869.5109,LOSS,-0.657,-15.0,54,5,US,False,27.8,47.8,False
TREND_FOLLOW,BTCUSDT,LONG,2025-10-05 10:00:00+00:00,123020.1,122215.8053,125030.8367,670.2456,2025-10-06 13:00:00+00:00,125030.8367,WIN,1.634,37.5,32,3,EUROPE,False,19.3,63.5,False
TREND_FOLLOW,BTCUSDT,SHORT,2025-10-14 17:00:00+00:00,112342.5,113519.0446,109401.1384,980.4539,2025-10-14 19:00:00+00:00,113519.0446,LOSS,-1.047,-15.0,54,5,US,False,33.6,50.3,False
TREND_FOLLOW,BTCUSDT,SHORT,2025-12-15 02:00:00+00:00,89248.1,89856.5242,87727.0395,507.0202,2025-12-15 06:00:00+00:00,89856.5242,LOSS,-0.682,-15.0,54,5,ASIA,False,43.7,56.2,False
TREND_FOLLOW,BTCUSDT,SHORT,2026-01-26 02:00:00+00:00,87700.1,88336.9685,86107.9289,530.7237,2026-01-26 08:00:00+00:00,88336.9685,LOSS,-0.726,-15.0,74,7,ASIA,True,36.0,51.9,True
TREND_FOLLOW,BTCUSDT,SHORT,2026-01-26 08:00:00+00:00,87998.8,88599.685,86496.5876,500.7375,2026-01-26 15:00:00+00:00,88599.685,LOSS,-0.683,-15.0,74,7,US,True,24.8,55.7,True
TREND_FOLLOW,BTCUSDT,SHORT,2026-02-28 14:00:00+00:00,65110.1,65871.9269,63205.5326,634.8558,2026-02-28 18:00:00+00:00,65871.9269,LOSS,-1.17,-15.0,54,5,US,False,29.7,53.0,False
TREND_FOLLOW,BTCUSDT,SHORT,2026-04-02 15:00:00+00:00,66863.2,67460.0143,65371.1643,497.3452,2026-04-04 15:00:00+00:00,67460.0143,LOSS,-0.893,-15.0,72,7,US,True,26.5,60.9,True
MEAN_REVERSION,BTCUSDT,LONG,2023-04-24 09:00:00+00:00,27186.1,26960.1085,27751.0788,188.3263,2023-04-24 17:00:00+00:00,26960.1085,LOSS,-0.831,-15.0,18,2,US,False,17.1,37.0,True
MEAN_REVERSION,BTCUSDT,SHORT,2023-04-25 21:00:00+00:00,27972.2,28205.7109,27388.4228,194.5924,2023-04-25 22:00:00+00:00,28205.7109,LOSS,-0.835,-15.0,62,6,LATE,False,19.9,76.3,True
MEAN_REVERSION,BTCUSDT,SHORT,2023-04-25 22:00:00+00:00,28263.3,28508.9144,27649.264,204.6787,2023-04-26 06:00:00+00:00,28508.9144,LOSS,-0.869,-15.0,54,5,ASIA,False,35.0,74.4,False
MEAN_REVERSION,BTCUSDT,SHORT,2023-04-30 16:00:00+00:00,29661.8,29819.8666,29266.6336,131.7221,2023-04-30 17:00:00+00:00,29819.8666,LOSS,-0.533,-15.0,40,4,US,False,19.4,76.4,False
MEAN_REVERSION,BTCUSDT,LONG,2023-05-01 02:00:00+00:00,28510.0,28247.222,29166.945,218.9817,2023-05-01 15:00:00+00:00,28247.222,LOSS,-0.922,-15.0,52,5,US,True,37.5,33.1,True
