sym,side,entry,ep,sl,tp1,tp2,score,sess,kz,rsi,exit,outcome,pnl,tp1_hit
BTCUSDT,SHORT,2023-04-23 15:00:00+00:00,27554.3,27871.0,27174.26,26572.53,11,US,True,47.2,2023-04-24 00:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-04-24 08:00:00+00:00,27454.8,27999.7,26800.92,25765.61,9,ASIA,True,41.2,2023-04-25 20:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-04-27 15:00:00+00:00,28975.8,28629.1865,29391.7362,30050.302,9,US,True,52.3,2023-05-01 01:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-05-09 14:00:00+00:00,27621.9,27817.0,27387.78,27017.09,9,EUROPE,True,44.2,2023-05-10 01:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-05-16 19:00:00+00:00,27055.5,27285.5,26779.5,26342.5,8,US,False,45.0,2023-05-17 19:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-05-19 08:00:00+00:00,26858.1,27197.1,26451.3,25807.2,9,ASIA,True,44.8,2023-05-19 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-05-20 07:00:00+00:00,26856.5,26980.0,26708.3,26473.65,8,ASIA,False,47.4,2023-05-20 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-06-11 08:00:00+00:00,25741.1,26081.1,25333.1,24687.1,9,ASIA,True,45.3,2023-06-11 17:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-06-12 16:00:00+00:00,25823.9,26104.6,25487.06,24953.73,9,US,True,46.6,2023-06-13 02:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-06-14 06:00:00+00:00,25845.1,26083.6,25558.9,25105.75,12,ASIA,False,42.5,2023-06-14 12:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-06-14 20:00:00+00:00,25874.0,26098.3,25604.84,25178.67,8,US,False,43.0,2023-06-14 22:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-06-19 17:00:00+00:00,26504.3,26310.0,26737.46,27106.63,8,US,False,53.8,2023-06-20 01:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-06-23 03:00:00+00:00,29986.1,29751.9935,30267.0278,30711.8302,8,ASIA,False,51.7,2023-06-23 15:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-06-24 09:00:00+00:00,30603.3,30253.2,31023.42,31688.61,9,ASIA,True,52.0,2023-06-24 16:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-06-27 05:00:00+00:00,30353.6,30040.2,30729.68,31325.14,8,ASIA,False,50.6,2023-06-28 12:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2023-07-01 13:00:00+00:00,30568.7,30325.2,30860.9,31323.55,8,EUROPE,False,56.8,2023-07-02 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-07-02 20:00:00+00:00,30559.8,30162.7,31036.32,31790.81,8,US,False,52.8,2023-07-06 14:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-07-08 05:00:00+00:00,30234.3,30383.3,30055.5,29772.4,8,ASIA,False,47.1,2023-07-09 01:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2023-07-11 14:00:00+00:00,30449.0,30291.4,30638.12,30937.56,9,EUROPE,True,51.7,2023-07-12 12:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2023-07-15 14:00:00+00:00,30328.0,30444.5964,30188.0843,29966.5511,9,EUROPE,True,38.7,2023-07-17 10:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2023-07-17 16:00:00+00:00,30175.2,30325.5,29994.84,29709.27,9,US,True,41.6,2023-07-17 18:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2023-07-19 15:00:00+00:00,29823.2,30187.7,29385.8,28693.25,9,US,True,41.5,2023-07-20 06:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-07-21 08:00:00+00:00,29766.0,29951.2,29543.76,29191.88,9,ASIA,True,41.8,2023-07-21 18:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-07-22 13:00:00+00:00,29843.7,29987.8,29670.78,29396.99,8,EUROPE,False,44.4,2023-07-23 17:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-07-28 06:00:00+00:00,29183.4,29539.6,28755.96,28079.18,8,ASIA,False,40.5,2023-07-28 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-07-29 11:00:00+00:00,29279.3,29407.7,29125.22,28881.26,8,EUROPE,False,45.2,2023-07-30 14:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-07-30 20:00:00+00:00,29200.1,29530.0,28804.22,28177.41,8,US,False,36.5,2023-07-31 00:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-07-31 16:00:00+00:00,29246.9,29476.8,28971.02,28534.21,9,US,True,40.5,2023-08-01 23:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-08-03 07:00:00+00:00,29086.4,29430.4,28673.6,28020.0,8,ASIA,False,39.3,2023-08-03 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-08-04 02:00:00+00:00,29198.7,29430.4,28920.66,28480.43,8,LATE,False,47.6,2023-08-08 11:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-08-16 14:00:00+00:00,29085.2,29255.1,28881.32,28558.51,9,EUROPE,True,33.1,2023-08-17 00:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2023-08-20 06:00:00+00:00,26090.2,26215.5,25939.84,25701.77,8,ASIA,False,48.1,2023-08-20 13:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-08-21 16:00:00+00:00,25941.7,26260.0,25559.74,24954.97,9,US,True,40.6,2023-08-21 21:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-08-22 05:00:00+00:00,26015.9,26260.0,25722.98,25259.19,8,ASIA,False,44.4,2023-08-23 16:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-08-26 08:00:00+00:00,26050.0,26134.309,25948.8293,25788.6422,9,ASIA,True,48.6,2023-08-27 14:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-02 08:00:00+00:00,25796.3,25986.0,25568.66,25208.23,9,ASIA,True,42.5,2023-09-02 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-03 17:00:00+00:00,25846.4,26138.0,25496.48,24942.44,8,US,False,44.4,2023-09-03 20:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-06 06:00:00+00:00,25748.3,25864.7,25608.62,25387.46,8,ASIA,False,47.2,2023-09-06 17:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-09-07 12:00:00+00:00,25709.9,26450.9,24820.7,23412.8,8,EUROPE,False,45.8,2023-09-07 21:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-09 09:00:00+00:00,25872.8,25946.6,25784.24,25644.02,9,ASIA,True,46.1,2023-09-09 16:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-10 01:00:00+00:00,25873.7,25946.6,25786.22,25647.71,8,LATE,False,47.7,2023-09-10 19:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-09-16 13:00:00+00:00,26555.0,26451.1,26679.68,26877.09,8,EUROPE,False,52.5,2023-09-17 00:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-09-17 09:00:00+00:00,26550.0,26419.9,26706.12,26953.31,9,ASIA,True,52.3,2023-09-17 21:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-09-18 03:00:00+00:00,26666.6,26377.0,27014.12,27564.36,10,ASIA,False,63.2,2023-09-21 13:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2023-09-21 15:00:00+00:00,26579.1,26366.6,26834.1,27237.85,8,US,True,35.8,2023-09-24 19:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-25 19:00:00+00:00,26331.8,26446.0,26194.76,25977.78,8,US,False,54.3,2023-09-25 20:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-09-26 09:00:00+00:00,26270.9,26400.0,26115.98,25870.69,9,ASIA,True,46.9,2023-09-27 09:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2023-09-29 11:00:00+00:00,27031.5,26658.0,27479.7,28189.35,8,EUROPE,False,57.4,2023-09-29 14:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-09-30 04:00:00+00:00,26914.7,26749.7,27112.7,27426.2,8,ASIA,False,51.0,2023-10-01 22:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-10-06 15:00:00+00:00,27670.2,27173.6,28266.12,29209.66,9,US,True,53.7,2023-10-11 02:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-10-12 08:00:00+00:00,26807.3,26945.0,26642.06,26380.43,9,ASIA,True,41.9,2023-10-13 13:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2023-10-13 16:00:00+00:00,26704.4,27132.0,26191.28,25378.84,9,US,True,42.8,2023-10-13 21:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-10-14 22:00:00+00:00,26822.9,26958.0,26660.78,26404.09,8,US,False,43.3,2023-10-15 13:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-10-22 23:00:00+00:00,30040.8,29720.1,30425.64,31034.97,8,LATE,False,58.4,2023-10-23 16:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-10-29 02:00:00+00:00,34004.6,33877.507,34157.1116,34398.5883,8,LATE,False,45.0,2023-10-29 12:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-10-31 12:00:00+00:00,34489.4,34025.5,35046.08,35927.49,8,EUROPE,False,55.2,2023-11-02 02:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-11-06 10:00:00+00:00,35117.9,34731.3,35581.82,36316.36,9,EUROPE,True,57.1,2023-11-07 09:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-11-08 11:00:00+00:00,35397.0,35083.6,35773.08,36368.54,8,EUROPE,False,59.1,2023-11-08 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-11-10 10:00:00+00:00,36558.0,36250.1853,36927.3777,37512.2256,9,EUROPE,True,50.3,2023-11-10 22:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-11-12 07:00:00+00:00,37142.2,36630.0,37756.84,38730.02,8,ASIA,False,54.9,2023-11-13 14:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-11-19 07:00:00+00:00,36598.0,36382.2,36856.96,37266.98,8,ASIA,False,55.2,2023-11-19 11:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-11-19 16:00:00+00:00,36574.2,36382.2,36804.6,37169.4,9,US,True,53.3,2023-11-19 23:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-11-25 06:00:00+00:00,37812.7,37579.3,38092.78,38536.24,8,ASIA,False,56.3,2023-11-26 12:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-11-27 08:00:00+00:00,37281.7,36710.0,37967.74,39053.97,8,ASIA,True,39.4,2023-11-27 16:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-11-30 04:00:00+00:00,38052.4,37582.0,38616.88,39510.64,8,ASIA,False,57.4,2023-11-30 14:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-12-02 10:00:00+00:00,38774.2,38630.5301,38946.6038,39219.5766,9,EUROPE,True,61.2,2023-12-02 19:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2023-12-09 13:00:00+00:00,43900.3,43684.3727,44159.4128,44569.6748,8,EUROPE,False,49.0,2023-12-09 23:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-12-10 21:00:00+00:00,43964.1,40200.0,48481.02,55632.81,8,US,False,55.6,2023-12-11 02:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-12-15 08:00:00+00:00,42707.9,41652.5,43974.38,45979.64,9,ASIA,True,49.0,2023-12-15 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-12-23 00:00:00+00:00,43970.7,43288.0,44789.94,46087.07,8,LATE,False,56.5,2023-12-23 04:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2023-12-23 22:00:00+00:00,43778.0,43414.0,44214.8,44906.4,8,US,False,53.9,2023-12-24 06:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2023-12-31 04:00:00+00:00,42174.1,42888.0,41317.42,39961.01,8,ASIA,False,49.3,2023-12-31 09:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-01-05 13:00:00+00:00,43881.9,43082.6,44841.06,46359.73,8,EUROPE,False,52.7,2024-01-05 17:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-01-05 22:00:00+00:00,43946.4,43082.6,44982.96,46624.18,8,US,False,54.8,2024-01-08 18:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2024-01-14 09:00:00+00:00,42995.0,43249.0062,42690.1925,42207.5807,9,ASIA,True,49.3,2024-01-14 20:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2024-01-17 12:00:00+00:00,42682.0,43200.0,42060.4,41076.2,8,EUROPE,False,43.6,2024-01-18 19:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2024-01-25 16:00:00+00:00,39801.1,40306.0,39195.22,38235.91,9,US,True,45.4,2024-01-26 09:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-01-29 16:00:00+00:00,42641.5,41799.5,43651.9,45251.7,9,US,True,63.1,2024-02-08 15:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-02-10 11:00:00+00:00,46886.3,46599.6575,47230.271,47774.8917,8,EUROPE,False,47.5,2024-02-10 20:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-02-12 15:00:00+00:00,48799.9,47705.7,50112.94,52191.92,9,US,True,66.5,2024-02-15 00:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-02-16 09:00:00+00:00,51841.2,51313.4,52474.56,53477.38,9,ASIA,True,48.9,2024-02-17 13:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-02-18 09:00:00+00:00,51787.8,51154.0,52548.36,53752.58,9,ASIA,True,55.5,2024-02-20 17:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-02-20 23:00:00+00:00,52172.4,50752.3,53876.52,56574.71,8,LATE,False,54.6,2024-02-21 12:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-03-01 08:00:00+00:00,61442.0,60584.3,62471.24,64100.87,9,ASIA,True,49.9,2024-03-04 00:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-03-07 01:00:00+00:00,66195.7,65161.9796,67436.1645,69400.2332,8,LATE,False,50.8,2024-03-08 15:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-03-09 10:00:00+00:00,68309.2,67809.5091,68908.8291,69858.2417,9,EUROPE,True,55.8,2024-03-10 09:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-03-30 11:00:00+00:00,70035.8,69645.8,70503.8,71244.8,8,EUROPE,False,52.3,2024-03-30 19:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-03-31 05:00:00+00:00,70114.8,69542.7,70801.32,71888.31,8,ASIA,False,55.3,2024-04-01 05:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-04-06 00:00:00+00:00,67833.5,66522.8,69406.34,71896.67,8,LATE,False,54.7,2024-04-08 08:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-04-09 02:00:00+00:00,71276.0,69566.9,73326.92,76574.21,8,LATE,False,52.6,2024-04-09 08:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-04-26 11:00:00+00:00,64100.9,64814.8,63244.22,61887.81,10,EUROPE,False,43.5,2024-04-26 14:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-05-05 04:00:00+00:00,63238.5,62752.375,63821.85,64745.4875,8,ASIA,False,50.6,2024-05-06 08:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-05-07 15:00:00+00:00,64036.0,62077.7,66385.96,70106.73,11,US,True,54.1,2024-05-08 00:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-05-18 07:00:00+00:00,66911.3,66571.4752,67319.0898,67964.7569,8,ASIA,False,57.8,2024-05-19 16:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-05-20 08:00:00+00:00,66832.7,66000.0,67831.94,69414.07,11,ASIA,True,52.0,2024-05-20 19:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-05-21 16:00:00+00:00,69821.5,69161.0,70614.1,71869.05,9,US,True,47.6,2024-05-21 19:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-05-21 21:00:00+00:00,69728.4,69161.0,70409.28,71487.34,9,US,False,47.7,2024-05-22 21:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-05-23 12:00:00+00:00,69977.2,66256.3,74442.28,81511.99,8,EUROPE,False,57.1,2024-05-23 20:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-05-26 02:00:00+00:00,69162.5,68809.9,69585.62,70255.56,8,LATE,False,57.4,2024-05-26 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-05-31 14:00:00+00:00,68075.5,69049.6,66906.58,65055.79,9,EUROPE,True,45.1,2024-06-03 06:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-06-06 08:00:00+00:00,71020.3,70674.797,71434.9036,72091.3593,9,ASIA,True,52.0,2024-06-06 19:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-06-07 05:00:00+00:00,71216.2,70120.0,72531.64,74614.42,8,ASIA,False,56.9,2024-06-07 17:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-06-14 08:00:00+00:00,66908.9,67366.3,66360.02,65490.96,9,ASIA,True,45.5,2024-06-14 13:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-06-15 08:00:00+00:00,66074.9,66633.3,65404.82,64343.86,9,ASIA,True,43.4,2024-06-16 10:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-06-19 12:00:00+00:00,65208.1,65727.2,64585.18,63598.89,8,EUROPE,False,47.7,2024-06-20 07:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-06-22 12:00:00+00:00,64275.0,64543.9,63952.32,63441.41,8,EUROPE,False,48.9,2024-06-23 23:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2024-06-26 16:00:00+00:00,61480.0,61983.9,60875.32,59917.91,9,US,True,47.8,2024-06-27 13:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2024-06-28 06:00:00+00:00,61604.0,62233.9,60848.12,59651.31,9,ASIA,False,51.1,2024-06-30 20:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2024-07-05 18:00:00+00:00,56461.1,57285.9824,55471.2411,53903.9646,8,US,False,51.1,2024-07-06 13:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-07-08 21:00:00+00:00,56260.2,57764.2,54455.4,51597.8,8,US,False,47.4,2024-07-09 06:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-07-18 06:00:00+00:00,64754.6,63400.0,66380.12,68953.86,10,ASIA,False,52.2,2024-07-18 15:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-08-02 10:00:00+00:00,64510.6,65598.9,63204.64,61136.87,9,EUROPE,True,50.2,2024-08-03 00:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2024-08-13 04:00:00+00:00,59048.0,59931.7,57987.56,56308.53,8,ASIA,False,47.3,2024-08-13 16:00:00+00:00,LOSS,-10.0,False
BTCUSDT,SHORT,2024-08-16 11:00:00+00:00,58442.1,59821.0,56787.42,54167.51,8,EUROPE,False,51.2,2024-08-16 19:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-08-17 17:00:00+00:00,59616.1,59046.7,60299.38,61381.24,8,US,False,61.9,2024-08-18 23:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-08-22 11:00:00+00:00,61351.3,59667.6,63371.74,66570.77,8,EUROPE,False,62.6,2024-08-27 22:00:00+00:00,LOSS,1.0,True
BTCUSDT,SHORT,2024-08-31 06:00:00+00:00,59212.1,59593.6075,58754.291,58029.4268,8,ASIA,False,50.2,2024-09-01 05:00:00+00:00,WIN,21.5,True
BTCUSDT,SHORT,2024-09-08 13:00:00+00:00,54200.1,55320.1,52856.1,50728.1,8,EUROPE,False,44.8,2024-09-08 22:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-09-13 06:00:00+00:00,57943.1,57580.9482,58377.6822,59065.7706,8,ASIA,False,51.0,2024-09-13 15:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-09-14 13:00:00+00:00,59796.6,59355.9,60325.44,61162.77,8,EUROPE,False,53.8,2024-09-14 18:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-09-18 22:00:00+00:00,60201.4,59179.7,61427.44,63368.67,8,US,False,53.7,2024-09-19 14:00:00+00:00,WIN,21.5,True
BTCUSDT,LONG,2024-09-21 08:00:00+00:00,63082.5,62750.6,63480.78,64111.39,9,ASIA,True,52.6,2024-09-22 09:00:00+00:00,LOSS,1.0,True
BTCUSDT,LONG,2024-09-23 19:00:00+00:00,63429.3,62702.3,64301.7,65683.0,8,US,False,50.7,2024-09-24 02:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-09-29 02:00:00+00:00,65869.2,65420.0,66408.24,67261.72,10,LATE,False,55.5,2024-09-30 00:00:00+00:00,LOSS,-10.0,False
BTCUSDT,LONG,2024-10-19 09:00:00+00:00,68409.3,68006.0,68893.26,69659.53,9,ASIA,True,55.0,2024-10-19 17:00:00+00:00,LOSS,-10.0,False
